,source,target
0,gon na big bad fucking northman,
1,might add asshole,deliver blunder
2,dickhead,bee
3,stupid come,
4,scumbag,punk
5,fucked,bummed
6,fool,lad
7,fuck,sammy
8,shut,quiet
9,full shit,talking
10,shit,everything
11,crazy,freaking
12,fucking,
13,idiot sorry another,please forgive
14,fuckin nobody,zero
15,garbage,waste
16,dick,never pee funnel
17,troll,shrink
18,shit steal night ah,thing stole overnight
19,crush,could caught
20,shitty,zealous
21,soft animal sex,
22,greasy hippie,
23,home kill,
24,fool,
25,hold adorable breast hold naked body,lovely bosom press foot
26,fucking disk,disc
27,dragged shit,taking dissection
28,saying stupid,said
29,found shit believed,find believe
30,damn fucking,oh really
31,fucking,thing man
32,shut fruit,close four percent
33,fuck,werewolf
34,got nice as,pretty
35,someone mentally deranged,warped mentality
36,stupid,bad
37,desiccate,preserve mikael
38,give shit drinking,talk
39,suspended cock cascading,hung bow penetrated
40,rebranding hip idiocy,presenting serious
41,super woman sent moron,chick drive
42,damn,oh
43,fool,man wrong
44,ever fuck,want sleep
45,grandma little shit,nana critter
46,pulledher damn,pulled
47,fucking,
48,shit,even
49,fucking,
50,fuck rardy,
51,u fed screwed man,
52,come get like crap,came inferior
53,sucking,smoke
54,,
55,bitch want,handbag wan na
56,man fucking mess,trust
57,sugar tit,cat
58,fuck,need screw
59,got shit,one put
60,stupid,mad
61,dust little pig,road grit liver lip
62,pathetic,
63,sex ten,slept many
64,bout decided better cross reach see get checkin grocery shop save waitressin numb pussy sudden decided gon na round,already determined go beyond strait look sort good discount store store saw waitress viper suddenly decides
65,give shit,coughing
66,taking shit,really take
67,left shit,kept mess
68,got leaving shift sex bathroom,club departing bill putting toilet
69,taking consideration dump discovery stuck deduce exact disposing stupid literally staring face whole,light disappearance finding always p conclude setting get rid
70,right said right fucking face,told
71,bitch broke rest,girl break others
72,telling kid get dead butt get daily subscribe fucking,told boy shut convince everyday also paid lousy
73,loser,forget mary
74,brown skinned slut,snowball
75,as,
76,man burnt vegetable,guy burned unresponsive
77,fucker,ever going master time
78,shit,anything
79,fucking,
80,mean shit getting lipo,think going liposuction
81,damned social worker,three
82,damn,kat fix end
83,put gon na kill,take set
84,fucked,gave
85,damn,hell
86,fuck blame miserable,unhappy
87,ball,mivonks
88,warn kill,dare tear
89,back got,together understood
90,kind junk talkin,talking
91,devil,lad
92,fuck,
93,could fuck extinction,throw entire complete annihilation
94,secret neither idiot respect pair,never two
95,sitting windowsill sitting fucking,perch window sill sits bloody
96,started approaching dick like started started,approached bird began piece could reach
97,shut gon na wait,waiting u
98,matter fucking,would
99,stink,smell like
